sep=|
ID_ENTIDAD|PARTIDO_CI|CANDIDATURA_PROPIETARIA|CANDIDATURA_SUPLENTE
28|PAN|IMELDA MARGARITA SANMIGUEL SÁNCHEZ|GEORGINA BARRIOS GONZÁLEZ
28|PRI|IMELDA MARGARITA SANMIGUEL SÁNCHEZ|GEORGINA BARRIOS GONZÁLEZ
28|PRD|IMELDA MARGARITA SANMIGUEL SÁNCHEZ|GEORGINA BARRIOS GONZÁLEZ
28|PVEM|MANUEL MUÑOZ CANO|JOSÉ RICARDO ESPINOZA VELÁZQUEZ
28|PT|JOSÉ RAMÓN GÓMEZ LEAL|INDIRA PAOLA LÓPEZ CARRETO
28|MORENA|JOSÉ RAMÓN GÓMEZ LEAL|INDIRA PAOLA LÓPEZ CARRETO
28|PAN_PRI_PRD|IMELDA MARGARITA SANMIGUEL SÁNCHEZ|GEORGINA BARRIOS GONZÁLEZ
28|PAN_PRI|IMELDA MARGARITA SANMIGUEL SÁNCHEZ|GEORGINA BARRIOS GONZÁLEZ
28|PAN_PRD|IMELDA MARGARITA SANMIGUEL SÁNCHEZ|GEORGINA BARRIOS GONZÁLEZ
28|PRI_PRD|IMELDA MARGARITA SANMIGUEL SÁNCHEZ|GEORGINA BARRIOS GONZÁLEZ
28|PT_MORENA|JOSÉ RAMÓN GÓMEZ LEAL|INDIRA PAOLA LÓPEZ CARRETO
